id;name;description;floor;capacity;is_active;floor_plan_url;width_px;height_px;location_id
1;frank ick;ah utterly;18944;31647;true;unsteady sophisticated if;31937.68;15344.62;1
2;suspiciously unaccountably hmph;now redevelop;10086;28160;false;so;19400.9;8785.81;2
3;that;brook;16844;27675;false;idolized;17693.4;5450.38;3
4;white programme usually;after instead to;14774;28007;false;interestingly commonly;5646.01;31172.84;4
5;unused;once;6689;11617;false;though soliloquy;27076.09;17020.18;5
6;hypothesize;aside ugh;32130;23011;false;statue newsletter;509.48;13576.11;6
7;pish;yippee muscat ha;19113;2057;true;bliss;4590.86;15285.8;7
8;yet questionable;outlandish;30692;16848;true;though warmly huzzah;31948.23;15810.23;8
9;graduate abaft dependable;as ordinary within;22926;27458;true;uh-huh;19999.58;21364.72;9
10;wherever;making;11652;11082;true;hotfoot;29103.19;8261.06;10
