id;label;price_adjustment;is_default;is_available;display_order;option_id
1;Mică (26cm);0.00;true;true;1;1
2;Medie (30cm);15.00;false;true;2;1
3;Mare (35cm);25.00;false;true;3;1
4;Șuncă extra;12.00;false;true;1;2
5;Mozzarella extra;10.00;false;true;2;2
6;Ciuperci extra;8.00;false;true;3;2
7;Mică (26cm);0.00;true;true;1;3
8;Medie (30cm);15.00;false;true;2;3
9;Mare (35cm);25.00;false;true;3;3
10;Mică (26cm);0.00;true;true;1;4
11;Medie (30cm);15.00;false;true;2;4
12;Mare (35cm);25.00;false;true;3;4
13;Mediu (medium);0.00;true;true;1;5
14;Bine făcut (well done);0.00;false;true;2;5
15;În sânge (rare);0.00;false;true;3;5
16;Ramen udon (groși);0.00;false;true;1;6
17;Ramen soba (subțiri);0.00;true;true;2;6
18;Ușor picant;0.00;true;true;1;7
19;Mediu picant;0.00;false;true;2;7
20;Foarte picant;0.00;false;true;3;7
21;Lapte de vaci;0.00;true;true;1;8
22;Lapte de ovăz;0.00;false;true;2;8
23;Lapte de migdale;0.00;false;true;3;8
