id;quantity;unit_price;total_price;status;special_instructions;notes;order_id
1;6749;15388.41;18898.35;PREPARING;without blissfully construe;expensive excess eventually;1
2;24884;18696.95;13733.46;READY;instead plump;barring;2
3;15001;27929.28;20311.79;SERVED;finally misread;forager;3
4;19054;20593.18;12327.17;PENDING;smooth convalesce swing;resort;4
5;29215;14505.98;288.7;PENDING;fruitful drat cruel;flame yet wherever;5
6;7513;29269.05;24833.32;PREPARING;extract;lightly;6
7;9067;14090.22;18751.16;READY;gosh intervention distinction;freezing;7
8;17348;12464.81;3271.73;READY;supposing pity;unnaturally uh-huh;8
9;988;20059.89;25512.07;CANCELLED;trolley brief;intent sweet;9
10;29259;1603.63;8554.55;SERVED;anenst;loose;10
