id;order_code;status;is_pre_order;scheduled_for;subtotal;discount_amount;tax_amount;total_amount;special_instructions;estimated_ready_time;confirmed_at;completed_at;created_at;updated_at
1;aching;SUBMITTED;false;2026-02-22T21:10:18;13310.27;11729.25;243.81;28188.56;../fake-data/blob/hipster.txt;2026-02-22T22:42:49;2026-02-23T06:32:49;2026-02-23T03:38:14;2026-02-22T16:50:59;2026-02-22T18:10:31
2;enormously;SERVED;false;2026-02-23T12:25:07;4733.37;30728.12;12908.12;25410.49;../fake-data/blob/hipster.txt;2026-02-23T06:41:48;2026-02-23T08:32:05;2026-02-22T16:52:17;2026-02-23T10:33:54;2026-02-23T02:41:48
3;umXXXX;CANCELLED;false;2026-02-23T14:23:06;17466.89;6810.46;5712.1;20096.01;../fake-data/blob/hipster.txt;2026-02-23T10:22:11;2026-02-22T19:11:58;2026-02-23T01:32:12;2026-02-23T07:03:43;2026-02-22T18:00:34
4;marksman when among;SUBMITTED;true;2026-02-23T08:33:19;3256.79;31520.91;13827.18;815.27;../fake-data/blob/hipster.txt;2026-02-22T18:52:53;2026-02-23T03:02:28;2026-02-22T19:17:19;2026-02-22T19:04:26;2026-02-23T12:47:32
5;exhaust;CANCELLED;true;2026-02-22T22:19:57;32698.27;32510.88;14195.47;26845.16;../fake-data/blob/hipster.txt;2026-02-23T06:53:41;2026-02-22T16:15:17;2026-02-22T19:01:34;2026-02-23T03:10:04;2026-02-23T04:46:43
6;finished oof psst;PREPARING;true;2026-02-23T05:38:02;30405.56;26670.17;4319.91;5239.63;../fake-data/blob/hipster.txt;2026-02-22T23:07:57;2026-02-23T10:08:36;2026-02-23T09:01:38;2026-02-23T07:02:49;2026-02-22T20:48:35
7;live conclude;PREPARING;true;2026-02-23T07:39:57;16931.49;20424.88;18610.24;30734.5;../fake-data/blob/hipster.txt;2026-02-22T22:30:49;2026-02-22T19:02:56;2026-02-23T00:00:21;2026-02-22T20:03:24;2026-02-22T20:30:59
8;parallel best;PREPARING;true;2026-02-23T13:23:53;4403.5;16850.95;13827.51;12213.94;../fake-data/blob/hipster.txt;2026-02-22T16:18:03;2026-02-22T21:04:50;2026-02-23T06:13:56;2026-02-23T06:27:43;2026-02-22T19:08:27
9;onto ack jaunty;READY;false;2026-02-23T12:46:35;11710.06;29395.49;28532.2;19291.07;../fake-data/blob/hipster.txt;2026-02-23T12:26:33;2026-02-23T14:16:24;2026-02-22T19:28:50;2026-02-23T11:28:37;2026-02-23T02:18:23
10;fiercely an whoa;CONFIRMED;false;2026-02-23T11:14:37;30553.84;3347.18;5240.5;31780.65;../fake-data/blob/hipster.txt;2026-02-22T22:02:29;2026-02-22T20:21:57;2026-02-23T13:10:39;2026-02-23T00:48:17;2026-02-23T08:15:06
