id;overall_rating;food_rating;service_rating;ambience_rating;comment;is_approved;is_anonymous;created_at
1;1;5;1;2;../fake-data/blob/hipster.txt;false;true;2026-02-23T07:31:53
2;5;1;1;2;../fake-data/blob/hipster.txt;true;true;2026-02-22T20:37:13
3;2;3;5;5;../fake-data/blob/hipster.txt;true;false;2026-02-22T23:28:50
4;3;4;1;2;../fake-data/blob/hipster.txt;false;true;2026-02-23T13:41:40
5;2;1;4;1;../fake-data/blob/hipster.txt;true;true;2026-02-23T06:15:08
6;5;3;2;2;../fake-data/blob/hipster.txt;true;false;2026-02-23T11:44:25
7;1;1;5;1;../fake-data/blob/hipster.txt;true;false;2026-02-23T05:03:53
8;1;5;5;4;../fake-data/blob/hipster.txt;true;true;2026-02-22T18:46:20
9;3;3;5;5;../fake-data/blob/hipster.txt;true;true;2026-02-22T23:18:15
10;1;4;1;1;../fake-data/blob/hipster.txt;false;false;2026-02-22T20:21:10
