id;requested_date;requested_time;party_size;notes;is_notified;expires_at;created_at
1;2026-02-23;slip ;26411;mythology;true;2026-02-22T22:38:00;2026-02-23T03:04:31
2;2026-02-23;retoo;4672;hmph descriptive who;true;2026-02-22T21:28:15;2026-02-23T07:43:32
3;2026-02-23;notwi;10167;suburban;true;2026-02-22T23:08:05;2026-02-23T05:56:22
4;2026-02-23;grate;8897;finally disadvantage;false;2026-02-23T05:24:21;2026-02-22T18:57:06
5;2026-02-23;where;2460;amidst;false;2026-02-23T12:10:54;2026-02-23T03:18:34
6;2026-02-22;after;12935;ack management;false;2026-02-23T00:40:43;2026-02-23T01:31:07
7;2026-02-23;astri;7699;monster primary legal;false;2026-02-22T15:58:57;2026-02-23T13:20:11
8;2026-02-22;ugh;28441;what scarcely;false;2026-02-22T20:15:39;2026-02-22T18:59:14
9;2026-02-23;abnor;18587;classic scrabble;false;2026-02-22T18:57:22;2026-02-23T00:47:17
10;2026-02-22;unit ;14555;puzzled;false;2026-02-22T21:58:57;2026-02-23T01:27:36
